# Hierarchy: NH Interactions: LNC+LNV M1: 1 DM/M: -8.2 y: -5.9 theta: 1.2 delta: 3.1 phi: 5.2
# t asym mu_e mu_mu mu_tau r11 r22 Re(r12) Im(r12) rb11 rb22 Re(rb12) Im(r12) Smooth-Sphaleron-Asym
1.19572e-05 -3.44423e-26 1.8191e-20 1.2784e-19 -1.46059e-19 0.000441048 0.000443817 -3.56081e-06 0.000442399 0.000441048 0.000443817 -3.56081e-06 -0.000442399 0
1.22768e-05 -3.76068e-26 1.99448e-20 1.40163e-19 -1.60137e-19 0.000452879 0.000455722 -3.65633e-06 0.000454266 0.000452879 0.000455722 -3.65633e-06 -0.000454266 0
1.25995e-05 -4.06537e-26 2.18407e-20 1.53486e-19 -1.75359e-19 0.00046483 0.000467748 -3.75282e-06 0.000466254 0.00046483 0.000467748 -3.75282e-06 -0.000466254 0
1.29255e-05 -4.31547e-26 2.38891e-20 1.67882e-19 -1.91805e-19 0.000476902 0.000479896 -3.85029e-06 0.000478364 0.000476902 0.000479896 -3.85029e-06 -0.000478364 0
1.32548e-05 -4.75819e-26 2.61004e-20 1.83421e-19 -2.09559e-19 0.000489098 0.000492168 -3.94875e-06 0.000490596 0.000489098 0.000492168 -3.94875e-06 -0.000490596 0
1.35873e-05 -5.32961e-26 2.8486e-20 2.00184e-19 -2.28712e-19 0.000501417 0.000504565 -4.04821e-06 0.000502954 0.000501417 0.000504565 -4.04821e-06 -0.000502954 0
1.39232e-05 -5.06986e-26 3.10582e-20 2.1826e-19 -2.49359e-19 0.000513862 0.000517088 -4.14868e-06 0.000515436 0.000513862 0.000517088 -4.14868e-06 -0.000515436 0
1.42624e-05 -4.94123e-26 3.38291e-20 2.37733e-19 -2.71602e-19 0.000526433 0.000529738 -4.25017e-06 0.000528046 0.000526433 0.000529738 -4.25017e-06 -0.000528046 0
1.46051e-05 -5.32707e-26 3.6812e-20 2.58696e-19 -2.9555e-19 0.000539132 0.000542516 -4.3527e-06 0.000540784 0.000539132 0.000542516 -4.35269e-06 -0.000540784 0
1.49511e-05 -5.70002e-26 4.00217e-20 2.81251e-19 -3.21318e-19 0.00055196 0.000555425 -4.45626e-06 0.000553651 0.00055196 0.000555425 -4.45626e-06 -0.000553651 0
1.53006e-05 -5.96193e-26 4.3473e-20 3.05506e-19 -3.49026e-19 0.000564918 0.000568464 -4.56088e-06 0.000566649 0.000564918 0.000568464 -4.56088e-06 -0.000566649 0
1.56536e-05 -6.40764e-26 4.71821e-20 3.31572e-19 -3.78805e-19 0.000578008 0.000581637 -4.66656e-06 0.000579779 0.000578008 0.000581637 -4.66656e-06 -0.000579779 0
1.60102e-05 -8.11864e-26 5.11646e-20 3.59566e-19 -4.10795e-19 0.000591231 0.000594943 -4.77332e-06 0.000593043 0.000591231 0.000594943 -4.77332e-06 -0.000593043 0
1.63703e-05 -8.7253e-26 5.54414e-20 3.89624e-19 -4.45134e-19 0.000604589 0.000608384 -4.88116e-06 0.000606441 0.000604589 0.000608384 -4.88116e-06 -0.000606441 0
